118;117;129;139;119;129;119;123;150;128;117;129;140;150;118;121;186;144;129;140;125;142;174;160;166;175;146;150;131;176;194;136;210;128;158;143;133;142;132;152;141;207;134;131;166;132;136;155;165;126
385;505;356;397;393;455;504;381;516;378;395;359;404;501;388;343;375;376;385;366;383;323;404;314;464;372;405;406;381;439;494;546;403;380;412;357;361;296;341;325;351;367;436;336;401;362;326;433;350;493
751;791;803;769;828;768;658;689;670;631;770;629;610;599;660;634;603;658;639;690;686;688;788;757;684;706;813;701;694;701;697;645;1056;874;914;773;719;742;707;703;702;739;681;756;751;755;737;753;740;702
1291;1166;1244;1378;1279;1255;1262;1194;1207;1258;1384;1247;1296;1268;1283;1299;1236;1177;1093;1158;1240;1152;1171;1099;1122;1087;1159;1154;1142;1141;1333;1190;1123;1127;1166;1123;1178;1089;1211;1185;1093;1178;1137;1101;1167;1066;1189;1121;1113;1207
1808;1803;1806;1828;1784;1817;1753;1790;1837;1767;1844;1838;1949;1783;1744;1810;1798;1828;1979;1985;2038;2026;2015;1997;2317;1989;1932;1874;1955;1946;1925;1949;1935;1917;1999;2106;1906;2050;1881;1953;1933;1839;1756;1823;1752;1739;1809;2009;1801;1797
2687;2706;2659;2724;2687;2679;2677;2717;2678;2664;2713;2662;2638;2720;2731;2841;2852;2646;2709;2668;2719;2720;2713;2750;2763;2790;2812;2859;2736;2700;2693;2633;2950;2793;2817;2825;2966;2760;2684;2633;2870;2726;2705;2701;2668;2669;2946;3074;3102;3141
4190;4598;4353;4362;4513;4419;4261;4204;4286;4371;4350;4396;4318;4173;3998;3941;3950;3910;3916;3910;3896;3952;3930;4033;3893;3968;3922;3939;3954;3886;3904;4236;4415;4381;4315;4325;3805;3907;3986;3951;3998;3840;3845;3938;3956;3900;3898;3923;4053;3949
294;270;329;284;280;330;272;269;345;263;301;294;296;326;292;309;326;281;273;303;301;306;293;285;327;285;289;323;277;284;296;278;301;290;265;296;309;275;350;265;380;275;262;334;278;266;340;271;272;339
663;632;660;742;746;694;652;645;637;702;732;743;797;789;727;676;633;683;711;765;712;686;641;634;668;759;751;729;760;814;746;766;737;800;772;762;743;764;750;738;765;691;764;720;788;752;930;712;760;785
1531;1499;1466;1513;1324;1322;1542;1408;1421;1342;1374;1452;1336;1404;1395;1329;1479;1375;1374;1464;1402;1415;1332;1454;1380;1347;1356;1452;1521;1498;1574;1562;1532;1567;1561;1518;1574;1576;1515;1517;1585;1573;1546;1621;1518;1577;1517;1538;1525;1708
2626;2540;2425;2382;2352;2403;2447;2364;2347;2468;2609;2416;2604;2546;2633;2578;2337;2347;2334;2445;2431;2413;2383;2374;2346;2384;2610;2343;2378;2378;2384;2298;2381;2338;2410;2405;2381;2569;2447;2317;2410;2395;2363;2374;2422;2412;2441;2449;2391;2431
3906;3825;3844;3743;3699;4030;3769;3793;3885;3828;3810;4262;4174;3852;4253;4102;4387;4322;4265;4175;3836;4108;3854;3823;3995;3765;3838;3874;3786;3851;3828;3914;3793;3806;4138;3869;3812;3770;3862;3821;3783;4067;3790;3792;3804;3868;3886;3759;3809;4305
7228;5662;5838;5704;5951;5750;5827;5761;6507;6473;6064;5979;5786;5759;5787;5720;5785;5640;5749;5728;5722;5716;5729;5747;6621;6473;6340;6250;6146;5971;5662;6521;6306;6351;5743;5731;5753;5695;5889;5684;5899;5783;5885;5621;5676;5659;5900;5823;5744;5795
8344;8480;8486;8260;8179;9427;9326;9063;9468;8477;9691;9191;9232;8378;8455;8334;8347;8347;8345;9019;9565;9263;8329;8408;8585;8280;8314;8485;8563;8467;9452;9294;9313;9019;9209;9564;8739;8360;8266;8550;8523;8753;9016;9130;8312;8504;8583;8473;8379;9227
600;574;626;586;582;683;587;610;722;609;579;617;630;596;633;596;599;662;603;693;646;676;616;580;590;589;660;605;580;664;607;617;652;621;603;679;609;580;657;573;609;671;574;673;666;636;625;680;622;582
1429;1538;1435;1484;1405;1489;1466;1435;1457;1393;1467;1452;1500;1460;1415;1467;1511;1550;1431;1492;1440;1505;1439;1471;1489;1426;1726;1440;1424;1498;1419;1471;1493;1449;1479;1420;1552;1444;1535;1463;1472;1505;1417;1496;1434;1530;1478;1480;1484;1432
2796;2933;2940;2899;3114;3148;2946;2959;2856;2851;2890;2982;2985;2857;2808;2835;2796;3069;2829;3200;3180;3157;3451;3208;3129;3226;3455;3207;3328;3230;3153;3175;3239;3151;3330;3408;3344;3204;3176;3277;3262;3334;3347;3044;3164;3274;3048;3352;3277;3103
5541;5743;5591;5607;5516;5721;5499;5490;5670;5337;5442;5170;5097;5049;5238;5030;4944;5165;5078;5117;5184;4987;5651;5535;5537;5588;5684;5554;5570;5583;5782;5673;5733;5734;5641;5722;5553;5090;5114;5241;5094;5147;5812;5514;5592;5550;5334;5157;5321;4997
8358;8066;8119;8111;8419;8107;8202;9209;8211;8934;8935;9062;8264;7994;8213;8202;8445;8012;8124;9133;9187;8789;8194;8094;8084;8428;8551;8209;8033;9088;9149;9086;8917;8466;8223;8416;8339;8450;8547;8297;8925;9072;9025;9123;9469;9187;9237;9302;8157;8222
12564;12614;12543;12723;12642;12608;12397;12935;12372;12312;12452;13795;12523;12857;12910;12916;15050;12808;12553;13190;12477;12508;12544;12532;12703;12681;12597;12812;14154;14114;14346;14431;14250;14428;14316;12501;14198;14500;14163;13709;14212;14641;14343;13859;14261;14234;13833;14306;14187;14419
18633;18540;18522;20633;18784;18832;18565;20667;20673;20998;20509;21297;21418;18632;18934;18493;18811;21182;20793;21043;18561;18752;19318;20851;18638;18954;18572;18808;18448;20779;20022;21307;20654;20677;18809;20214;18807;18624;18569;20834;18759;19757;20846;20920;20963;20682;19029;18696;21014;20969
