68;40;41;47;42;53;43;50;50;35;46;28;40;34;36;34;42;48;28;28;41;34;37;30;36;32;44;34;36;33;38;35;31;37;36;30;33;33;32;41;30;30;36;43;31;31;25;33;30;32;
300;347;350;404;405;355;431;538;385;322;413;319;334;405;347;322;564;382;430;430;416;382;319;391;298;428;320;366;428;329;365;352;311;415;307;343;365;278;330;487;369;341;329;391;429;376;474;541;403;347;
1592;1415;1783;1728;1461;1635;1753;1525;1770;1820;1684;1914;1804;1623;1697;1903;1542;1962;1735;1866;1608;1487;1623;1949;1450;1981;1396;1942;2288;1703;1789;1902;1714;1708;1915;1483;1913;2202;1336;1878;1918;1391;1745;1683;1600;1946;1381;1877;1937;1659;
4549;4989;5109;5137;5433;6527;5017;5289;5433;4036;5340;4456;5131;5734;5258;5878;5284;5143;4674;4860;5041;4705;5482;5776;5479;4912;4988;4345;5447;4753;6090;5038;5483;4387;5783;4162;5222;4262;5348;4982;4276;5191;6006;4616;5415;5051;4897;4652;5033;4785;
11020;12882;14631;10363;14453;11033;12256;11580;10517;13587;14383;11633;10260;15063;13187;11972;14162;12898;14031;12798;11158;12820;13941;13183;12006;13595;12399;12609;11057;12746;11865;9866;9624;10908;11669;12787;9849;12089;9357;14743;11882;11960;13852;11765;9780;12045;11312;11718;11610;11460;
23398;22982;20850;23621;21098;23406;24497;25017;27677;24438;26599;25073;27984;23035;25283;23754;23717;24218;27142;27266;23202;23229;23840;20596;26070;19888;21701;25334;24545;23541;23406;19940;22253;19067;24026;22928;27369;26323;20692;26874;21508;21112;25441;22042;28334;25629;19073;26069;23078;26005;
47060;41979;47148;50155;54328;48371;48356;44900;46737;45861;39943;45359;49209;39567;43665;39548;46381;51282;36905;48301;45494;53919;47627;44003;44764;48130;35988;54041;45851;44932;39112;42101;54909;48119;41725;46563;49012;45708;41762;57116;41127;39710;52096;38613;47618;50974;38383;50666;43878;47099;
78;54;55;59;54;52;54;57;71;57;63;49;69;62;58;83;53;43;65;67;66;57;69;58;74;62;47;57;56;62;60;73;76;55;53;58;65;67;64;81;48;72;62;59;64;60;64;66;41;60;
639;815;848;722;859;677;640;839;807;789;801;913;767;797;759;707;516;617;880;723;777;707;792;604;747;737;652;767;776;783;787;900;609;700;798;621;694;833;813;589;644;767;821;635;773;658;656;915;673;801;
4263;3530;3667;3273;3833;3772;3600;3354;3880;2983;4462;3734;3264;3512;3274;3499;2988;3681;3789;3370;3099;3204;3339;3584;3908;3879;3070;4124;3392;3186;3258;3101;4286;3830;2938;3374;3710;2686;3150;3032;3174;3529;3256;3347;3414;3972;3408;4156;3690;2949;
10157;12519;11806;13645;10527;13461;14570;11067;13390;14197;13678;10474;11780;14661;12215;12201;11085;12917;9942;10638;11459;12407;13021;12120;10510;13420;12220;11550;13454;10585;12092;10992;11433;11091;11478;10411;11794;10314;13915;11798;12763;14479;11311;10882;13823;12305;9685;13717;14214;11840;
38747;33096;35625;29448;37398;32501;28008;28948;29407;31053;25308;35169;31954;30742;34217;37210;37099;36371;40929;38251;32958;37683;35581;33768;33700;34420;29135;30894;36133;28127;32626;39205;27784;34181;37596;34689;37236;32297;38273;32027;37773;39774;36300;39848;28960;40925;35169;35191;35715;32891;
68180;82734;69462;66145;89079;84649;80972;78599;93416;72046;67466;89523;94426;81636;87596;74005;73898;79936;82421;71924;93113;78682;65390;83844;84452;85270;89406;85309;79348;60044;79662;76868;76231;71603;71402;86043;76709;86169;80328;75513;79524;81737;72641;100349;81862;77326;94029;78699;63380;65856;
150524;153861;166000;142240;185126;152595;153987;168692;186445;160534;169463;163648;146014;153555;187617;155483;172567;189072;170171;173541;169936;166211;144828;154350;178339;146710;174078;177079;174830;159834;192462;162374;177012;184832;167173;148582;163432;147274;181077;179962;164256;194076;171547;133584;189162;151839;152769;135280;164913;163631;
107;115;125;113;101;157;143;141;146;141;126;155;165;198;109;127;153;124;160;91;115;117;126;141;111;161;167;121;142;123;114;114;111;131;156;148;120;113;104;148;109;157;122;108;147;141;129;114;135;123;
1774;1934;1514;1920;1888;2143;1946;1965;1994;2223;1748;2166;1660;1906;1776;1523;1804;1919;2203;1964;1358;2019;1681;1691;1616;1757;1419;1451;1344;1203;2248;1518;1394;2308;1294;1514;1643;1647;2140;1765;1516;1795;1628;1996;2250;1809;1242;2113;2422;1022;
12130;8444;11374;12611;12105;8597;9520;11286;9682;8154;9679;14941;11144;9727;10175;13565;10763;10792;11293;11428;12603;10869;8846;7838;11383;14194;10302;9959;9912;9949;10749;10519;8435;9149;11887;11313;9465;9929;10450;11062;9777;10543;9581;10213;13411;9057;10924;9532;9737;11862;
44812;43622;35895;35671;44820;42970;44101;39575;40568;38883;43010;46997;40768;41871;38012;40999;42593;41388;35259;37804;42060;43018;42608;38639;33621;40600;42471;44187;43074;42421;34660;46081;48638;37362;42817;41664;39082;36611;41935;40898;41875;41747;48971;38094;33674;36911;40791;39254;42734;40415;
106827;112055;123872;109879;113438;118016;130292;130094;108314;117146;105081;116147;119687;108023;125975;127492;114611;126127;121025;109905;104816;105047;118372;110323;109825;119003;110375;108414;129199;120840;105350;120271;128996;111293;94487;87868;102982;117758;123334;111698;121295;104639;110570;121447;111611;120446;117651;109604;107547;104676;
253278;261423;242321;269297;236876;234096;215635;233103;217856;264725;238535;234788;247011;243488;225549;211432;228230;248996;231217;243436;241055;232549;205434;244309;244624;226733;233899;254288;231416;223593;219804;236578;232190;249827;230193;244796;212557;252759;245510;243555;243368;259379;255074;238347;229489;231505;238349;211100;258180;226447;
434310;469152;488362;450573;470709;449141;505700;444175;443155;456950;508173;523049;523306;425282;520904;455477;454217;486281;498478;487270;539788;477621;431088;485938;447047;456601;464808;505409;415193;467876;477102;459263;471137;491718;489833;481323;543926;501533;509186;518194;453193;460575;487100;519369;502743;497056;502708;517616;486034;497460;
